  Time  Potential_Energy  Kinetic_Energy  Total_Energy  Temperature  Moment of Cen
  8.30000043E-02  -6.0174894      0.75026369      -5.2672257      0.49991918      1.11510083E-07
  8.40000063E-02  -6.0179214      0.75066912      -5.2672524      0.50017577      2.10734243E-07
  8.50000009E-02  -6.0182042      0.75098687      -5.2672172      0.50044608      1.34110451E-07
  8.60000029E-02  -6.0181556      0.75111473      -5.2670407      0.50065792      4.98910822E-07
  8.70000049E-02  -6.0176167      0.75095952      -5.2666574      0.50074315      8.42936956E-08
  8.80000070E-02  -6.0164304      0.75043488      -5.2659955      0.50063968      5.07733944E-07
  8.90000015E-02  -6.0144658      0.74946368      -5.2650023      0.50028992      6.82857006E-08
  9.00000036E-02  -6.0116000      0.74851227      -5.2630877      0.49964246      6.66400197E-08
  9.10000056E-02  -6.0077286      0.74644846      -5.2612801      0.49900818      3.42402615E-07
  9.20000076E-02  -6.0027585      0.74375570      -5.2590027      0.49763229      1.94287367E-07
  9.30000022E-02  -5.9966149      0.74038959      -5.2562256      0.49583712      2.64049248E-07
  9.40000042E-02  -5.9892392      0.73631471      -5.2529244      0.49359307      1.61180708E-07
  9.50000063E-02  -5.9805884      0.73150349      -5.2490849      0.49087647      1.52691470E-07
  9.60000008E-02  -5.9706321      0.72593826      -5.2446938      0.48766899      9.54139878E-08
  9.70000029E-02  -5.9593611      0.71960807      -5.2397528      0.48395884      1.69244657E-07
  9.80000049E-02  -5.9467797      0.71251285      -5.2342668      0.47973871      3.05382940E-07
  9.90000069E-02  -5.9329085      0.70466143      -5.2282472      0.47500858      3.51680029E-07
  0.10000000      -5.9177899      0.74113363      -5.1766562      0.46977428      2.47556670E-07
  0.10100000      -5.9008832      0.73148727      -5.1693959      0.49408910      2.25002594E-07
  0.10200001      -5.8827438      0.72110420      -5.1616397      0.48765817      5.13603936E-07
  0.10300001      -5.8634968      0.71005183      -5.1534448      0.48073614      2.08616257E-07
  0.10400000      -5.8432660      0.69839084      -5.1448750      0.47336790      5.64083280E-07
  0.10500000      -5.8221946      0.68621010      -5.1359844      0.46559390      1.71848569E-07
  0.10600001      -5.8004665      0.67360783      -5.1268587      0.45747340      3.18550434E-07
  0.10700001      -5.7782803      0.66069996      -5.1175804      0.44907188      2.13352166E-07
  0.10800000      -5.7558594      0.64761585      -5.1082435      0.44046664      5.96046448E-08
  0.10900000      -5.7334533      0.63450253      -5.0989509      0.43174389      6.14390601E-08
  0.11000001      -5.7113323      0.73582762      -4.9755049      0.42300168      2.19001450E-07
  0.11100001      -5.6874752      0.72178108      -4.9656940      0.49055174      2.08616257E-07
  0.11200000      -5.6641994      0.70804077      -4.9561586      0.48118737      3.26468097E-07
  0.11300001      -5.6418352      0.69479227      -4.9470429      0.47202718      2.25002594E-07
